headword,transliteration,meaning_en,part_of_speech
प्रतिसंश्रु,pratisaṃśru,only ind.p,
प्रतिसंसृज्,pratisaṃsṛj,P. -sfjati,m.
प्रतिसंस्कृ,pratisaṃskṛ,skf = kf,m.
प्रतिसंस्तम्भ्,pratisaṃstambh,only ind.p,
प्रतिसंस्तर,pratisaṃstara,stf) friendly reception L.,n.
प्रतिसंस्थान,pratisaṃsthāna,sTA) settling in,n.
प्रतिसंस्मृ,pratisaṃsmṛ,P. -smarati,
प्रतिसंहित,pratisaṃhita,See col.2.,
प्रतिसंहृ,pratisaṃhṛ,"P. A1. -harati, te, to draw together, contract (with AtmAnam, one's self i.e. to shrink, return to its usual bed, said of the sea) Hariv.",n.
प्रतिसंहृष्,pratisaṃhṛṣ,P. -harzati,mfn.
प्रतिसंकाश,pratisaṃkāśa,kAS) a similar appearance,m.
प्रतिसंक्रम्,pratisaṃkram,A1. -kramate,m.
प्रतिसंक्रुद्ध,pratisaṃkruddha,"kruD) angry with, wroth against (acc.) MBh.",mfn.
प्रतिसंख्या,pratisaṃkhyā,"only ind.p. KyAya), to count or reckon up, number S3Br.",f.
प्रतिसङ्गिन्,pratisaṅgin,saYj) cleaving or clinging to,mfn.
प्रतिसंग्रह्,pratisaṃgrah,"P. A1. -grihRAti, RIte, to receive, accept MBh.",
प्रतिसच्,pratisac,A1. -sacate,
प्रतिसंचर्,pratisaṃcar,P. -carati,m.
प्रतिसंजात,pratisaṃjāta,jan) born,mfn.
प्रतिसंज्ञा,pratisaṃjñā,A1. -jAnIte,mfn.
प्रतिसद्,pratisad,P. -sIdati (Pa1n2. 8-3,
प्रतिसंदिश्,pratisaṃdiś,"P. -diSati, to give a person (acc. or haste with gen.) a message or commission in return R.",m.
प्रतिसंधा,pratisaṃdhā,"P. A1. -daDAti, -Datte, (P.) to put together again, re-arrange S3Br.",mfn.
प्रतिसमय्य,pratisamayya,having arranged DivyA7v. (prob. w.r. for -Samayya,ind.
प्रतिसमस्,pratisamas,P. -asyati (ind.p. -Asam),
प्रतिसमादिश्,pratisamādiś,"P. -diSati, to answer, reply Das3.",mfn.
प्रतिसमाधा,pratisamādhā,"P. -daDAti, to put back again, replace, re-arrange, restore Das3.",n.
प्रतिसमापन,pratisamāpana,Ap) the going against,n.
प्रतिसमाश्रित,pratisamāśrita,Sri) depending on (acc.) MBh.,mfn.
प्रतिसमास्,pratisamās,"A1. -Aste, to be a match for, cope with, resist (acc.) MBh.",n.
प्रतिसमिन्ध्,pratisamindh,A1. -indDe,
प्रतिसमीक्ष्,pratisamīkṣ,A1. -Ikzate,n.
प्रतिसम्बुद्ध,pratisambuddha,buD) restored to consciousness,mfn.
प्रतिसम्भू,pratisambhū,P. -Bavati,
प्रतिसम्मुद्,pratisammud,Caus,n.
प्रतिसह्,pratisah,A1. -sahate,
प्रतिसुप्त,pratisupta,svap) fallen asleep,mfn.
प्रतिसृ,pratisṛ,"P. -sarati (ind.p. -sAram S3a1n3khBr.), to go against, rush upon, attack, assail (acc.) Hariv.",m.
प्रतिसृज्,pratisṛj,"P. -sfjati, to hurl or utter in reply (a curse) BhP.",m.
प्रतिसृप्,pratisṛp,"P. -sarpati, to creep back ChUp.",
प्रतिसेव्,pratisev,"A1. -sevate, to pursue, follow (pleasure) DivyA7v.",
प्रतिस्कॄ,pratiskṝ,"P. -kirati (pf. -caskare), to hurt, injure, to tear to pieces S3is3. i, 47",n.
प्रतिस्खलित,pratiskhalita,sKal) warded off S3is3,mfn.
प्रतिस्तम्भ्,pratistambh,"P. A1. -staBnAti, -swaBate, to lean or press (A1. one's self ) against Hariv.",mfn.
प्रतिस्नात,pratisnāta,"snA) bathed, washed Pa1n2. 8-3, 90",mfn.
प्रतिस्पन्दन,pratispandana,spand) throbbing,n.
प्रतिस्पर्ध्,pratispardh,A1. -sparDate,f.
प्रतिस्पश,pratispaśa,TS.) mfn,mfn.
प्रतिस्पाशन,pratispāśana,AV.) mfn,mfn.
प्रतिस्फुर्,pratisphur,P. -sPurati,
प्रतिस्मृ,pratismṛ,"P. A1. -smarati, te, to remember, recollect (acc.) RV.",f.
प्रतिस्वन्,pratisvan,P. -svanati,m.
प्रतिस्वर,pratisvara,"svar) a rever berated sound, echo MBh.",m.
प्रतिहन्,pratihan,"P. -hanti (ep. also A1. pf. -jaGne), to beat against (gen.) Ta1n2d2Br.",mfn.
प्रतिहर्य्,pratihary,"P. A1. -h/aryati, te, to desire, love, accept gladly, long for RV.",
प्रतिहा,pratihā,P. -jahAti,m.
प्रतिहास,pratihāsa,has) returning a laugh,m.
प्रतिहिंसा,pratihiṃsā,hiMs) retaliation,f.
प्रतिहित,pratihita,"&c , see prati-DA.",
प्रतिहु,pratihu,P. -juhoti,mfn.
प्रतिहृ,pratihṛ,"P. A1. -harati, te (ind.p. pratI-hAram Kaus3.",n.
प्रतिहृष्,pratihṛṣ,A1. -hfzyate,m.
प्रतिहेष्,pratiheṣ,A1. -hezate,
प्रतिह्रास,pratihrāsa,hras) abbreviation,m.
प्रतिह्वर,pratihvara,hvf) a slope,m.
प्रतिह्वे,pratihve,A1. -huv/ate,
प्रती,pratī,in comp,m.
प्रती,pratī,"prati-i) P. praty-eti, to go towards or against, go to meet (as friend or foe) RV. &c",mfn.
प्रतीक,pratīka,See p,
प्रतीक्ष्,pratīkṣ,"prati-Ikz) A1. pratikzate (ep. also P. ti), to look at, behold, perceive AV.",mf
प्रतीच्छक,pratīcchaka,See pratiz.,
प्रतीड्,pratīḍ,"prati-Iq), only 3",
प्रतीत,pratīta,"&c , see under 2",
प्रतीत्त,pratītta,See /a-pratItta.,
प्रतीन्धक,pratīndhaka,inD) N,m.
प्रतीन्व्,pratīnv,prati-inv) P,
प्रतीप,pratīpa,mf(A)n. (fr. prati+ap,mf
प्रतीप्स्,pratīps,Desid,
प्रतीर्,pratīr,"prati-Ir), only Caus",
प्रतीर,pratīra,N. of a son of Manumanu BhautyaBOtya Ma1rkP.,m.
प्रतीष्,pratīṣ,"prati-iz) P. pratIcCati (ind.p. pratIzya), to strive after, seek RV. x, 129, 4",m.
प्रतीषित,pratīṣita,Iz) stretched out towards Ka1t2h.,mfn.
प्रतुद्,pratud,"P. -tudati, to strike at, cut through, pierce MBh.",m.
प्रतुर्,pratur,See su-prat/ur.,
प्रतुर्व्,praturv,only pr,
प्रतुष्,pratuṣ,P. -tuzyati,f.
प्रतुस्तुषु,pratustuṣu,See pra-stu.,
प्रतूणी,pratūṇī,a kind of disease (causing pain of the nerves extending from the rectum and generative organs to the bowels,f.
प्रतूर्ण,pratūrṇa,tUrta &c,
प्रतृद्,pratṛd,only ind.p,mfn.
प्रतृप्,pratṛp,"Caus. -tarpayati, to satiate, refresh, strengthen, satisfy Pan5cat.",
प्रतॄ,pratṝ,"P. A1. -tarati, te (Ved. also -tirati, te",m.
प्रतोली,pratolī,"a broad way, principal road through a town or village (ifc. lIka) MBh.",f.
प्रत्त,pratta,pr/a-tti,
प्रत्न,pratna,mf(/A)n,mf
प्रत्यंश,pratyaṃśa,"&c , see p",
प्रत्यक्,pratyak,See p,
प्रत्यक्ष,pratyakṣa,"mf(A)n. present before the eyes, visible, perceptible (opp. to paro'kza q.v.) Up.",mf
प्रत्यञ्च्,pratyañc,"nom. praty/aN. prat/IcI, pratIc/I [and pratyaYcI Vop.] Page675,1",mfn.
प्रत्यञ्ज्,pratyañj,"P. -anakti, or -aYjati, to smear over, besmear S3Br.",n.
प्रत्यद्,pratyad,P. -atti,n.
प्रत्यधिश्रि,pratyadhiśri,P. -Srayati. to put down beside (the fire) Ka1tyS3r.,
प्रत्यधी,pratyadhī,aDi-i) A1,
प्रत्यनुज्ञा,pratyanujñā,P. -jAnAti,
प्रत्यनुतप्,pratyanutap,Pass,
प्रत्यनुनी,pratyanunī,"P. A1. -nayati, te, to speak friendly words, induce to yield, persuade MBh.",
प्रत्यनुभू,pratyanubhū,"P. -Bavati, to enjoy singly or severally Pras3nUp.",
प्रत्यनुयाच्,pratyanuyāc,P. -yAcati,
प्रत्यनुवाशित,pratyanuvāśita,vAS) roared against,mfn.
प्रत्यनुस्मृ,pratyanusmṛ,P. -smarati,
प्रत्यपकृ,pratyapakṛ,only ind.p,m.
प्रत्यपया,pratyapayā,P. -yAti,
प्रत्यपवह्,pratyapavah,P. -vahati,
प्रत्यपसृप्,pratyapasṛp,Caus,
प्रत्यपोर्णु,pratyaporṇu,-apa-UrRu) A1,
प्रत्यभिघृ,pratyabhighṛ,Caus,n.
प्रत्यभिचर्,pratyabhicar,"P. -carati, to use spells or charms against AV.",mfn.
प्रत्यभिचित,pratyabhicita,1. cI) built up in defence GopBr. (w.r. -jita).,mfn.
प्रत्यभिज्ञा,pratyabhijñā,"P. A1. -jAnAti, -jAnIte, to recognize, remember, know, understand MBh.",f.
प्रत्यभिधा,pratyabhidhā,"P. A1. -daDAti, -Datte, to take or draw back, re-absorb BhP.",mfn.
प्रत्यभिधाव्,pratyabhidhāv,P. -DAvati,
प्रत्यभिनन्द्,pratyabhinand,"P. -nandati, to greet in return, return a salutation MBh.",mfn.
प्रत्यभिप्रस्था,pratyabhiprasthā,A1. -tizWate,
प्रत्यभिभाषिन्,pratyabhibhāṣin,BAz) speaking to,mfn.
प्रत्यभिभूत,pratyabhibhūta,"BU) overcome, conquered Prab",mfn.
प्रत्यभिमिथ्,pratyabhimith,P. -meTati,n.
प्रत्यभिमृश्,pratyabhimṛś,"P. -mfSati, to stroke or rub over, touch, lay hold of Gobh.",m.
प्रत्यभिया,pratyabhiyā,P. -yAti,
प्रत्यभियुज्,pratyabhiyuj,A1. -yuNkte,mfn.
प्रत्यभिलेख्य,pratyabhilekhya,liK) a counter document,n.
प्रत्यभिवद्,pratyabhivad,P. -vadati,m.
प्रत्यभिस्कन्दन,pratyabhiskandana,"skand) a counter plaint or charge, an accusation brought against the accuser or plaintiff Ya1jn5",n.
प्रत्यभिहृ,pratyabhihṛ,Caus,
प्रत्यभ्यनुज्ञा,pratyabhyanujñā,jYA) leave,f.
प्रत्यभ्युत्थान,pratyabhyutthāna,sTA) rising from a seat through politeness (ifc,n.
प्रत्यय,pratyaya,"&c , see p",
प्रत्यर्च्,pratyarc,"P. -arcati, to shine upon (acc.) RV. : Caus. -arcayati, to greet in return or one by one MBh.",n.
प्रत्यर्थ्,pratyarth,P. -arTayati,m.
प्रत्यर्द्,pratyard,Caus,
प्रत्यर्पण,pratyarpaṇa,"&c , see praty-f.",
प्रत्यवकर्शन,pratyavakarśana,kfS) bringing down,mfn.
प्रत्यवगम्,pratyavagam,P. -gacCati to know singly or exactly MBh.,
प्रत्यवग्रह्,pratyavagrah,"P. -gfhRAti, to draw or put back MaitrS.",
प्रत्यवतॄ,pratyavatṝ,P. -tarati,
प्रत्यवदो,pratyavado,P. -dAt/i,
प्रत्यवधा,pratyavadhā,P. -daDAti,
प्रत्यवनेजन,pratyavanejana,nij) washing off again Pa1rGr2.,n.
प्रत्यवभाष्,pratyavabhāṣ,A1. -BAzate,
प्रत्यवभास,pratyavabhāsa,"BAs) becoming visible, appearance (ifc",m.
प्रत्यवभुज्,pratyavabhuj,P. -Bujati,
प्रत्यवमृश्,pratyavamṛś,"P. -mfSati, to touch Kaus3.",m.
प्रत्यवमृष्,pratyavamṛṣ,P. A1. -mfzyati,
प्रत्यवरुध्,pratyavarudh,only ind.p,mfn.
प्रत्यवरुह्,pratyavaruh,"P. -rohati, to come down again, descend from (abl.), alight upon (acc.) TS.",f.
प्रत्यवसद्,pratyavasad,P. -sIdati,
प्रत्यवसृज्,pratyavasṛj,"P. -sfjati, to throw on (loc.) Hariv.",
प्रत्यवसृत,pratyavasṛta,sf) gone away DivyA7v.,mfn.
प्रत्यवसृप्,pratyavasṛp,P. -sarpati,
प्रत्यवसो,pratyavaso,P. -syati,n.
प्रत्यवस्कन्द,pratyavaskanda,skand) an attack,m.
प्रत्यवस्था,pratyavasthā,"A1. -tizWate, to return, re-appear (with punar) BhP.",f.
प्रत्यवहन्,pratyavahan,P. -hanti,
प्रत्यवहृ,pratyavahṛ,only Ved,m.
प्रत्यवाप्,pratyavāp,"ava-Ap), only pf",
प्रत्यवे,pratyave,"-ava-i) P. avaIti, to come down again, reach in descending Br.",m.
प्रत्यवेक्ष्,pratyavekṣ,"-ava-Ikz) A1. -avekzate (ep. also P. ti), to look at S3Br.",n.
प्रत्यष्ट,pratyaṣṭa,1. aS) fallen to a person's (loc.) lot or share Kaus3.,mfn.
प्रत्यस्,pratyas,"P. -asti, to be equal to or a match for (acc.) RV.",
प्रत्यस्,pratyas,"P. -asyati, to throw to or down AV.",mfn.
प्रत्यह्,pratyah,"only pf. -Aha), to say anything in the presence of (acc.) AV.",
प्रत्याकलित,pratyākalita,3. kal) enumerated,mfn.
प्रत्याकाङ्क्ष्,pratyākāṅkṣ,A1. -kANkzate,
प्रत्याकृष्,pratyākṛṣ,P. -kfzati,
प्रत्याक्रम्,pratyākram,P. A1. -krAmati,
प्रत्याक्रुश्,pratyākruś,P. -kroSati,mfn.
प्रत्याक्षेपक,pratyākṣepaka,mf(ikA)n,mf
प्रत्याख्या,pratyākhyā,"P. -KyAti, to proclaim one by one S3Br.",mfn.
प्रत्यागम्,pratyāgam,"P. -gacCati, to come back again, return TBr.",mfn.
प्रत्यागॄ,pratyāgṝ,P. -gfRAti,
प्रत्याचक्ष्,pratyācakṣ,"A1. -cazwe, to refuse, decline, reject, repulse (with acc. of pers. or thing) S3rS.",mfn.
प्रत्याजन्,pratyājan,A1. -jAyate,
प्रत्यातन्,pratyātan,"P. A1. -tanoti, -tanute, to extend in the direction of, shine upon or against, irradiate RV.",
प्रत्यादा,pratyādā,"A1. -datte, to receive back MBh.",n.
प्रत्यादिश्,pratyādiś,"P. -diSati, to enjoin, direct, advise R.",mfn.
प्रत्यादृ,pratyādṛ,A1. -driyate,
प्रत्याद्रु,pratyādru,P. -dravati,
प्रत्याधान,pratyādhāna,DA) a place where anything is deposited or laid up,n.
प्रत्याध्मान,pratyādhmāna,DmA) a partic,n.
प्रत्यानह्,pratyānah,P. -nahyati,m.
प्रत्यानी,pratyānī,"P. A1. -nayati, te (inf. -nayitum R.), to lead or bring back, restore Kaus3.",n.
प्रत्याप्,pratyāp,only Desid,
प्रत्यापत्ति,pratyāpatti,pad) return BhP.,f.
प्रत्याप्लवन,pratyāplavana,plu) springing or leaping back R.,n.
प्रत्याब्रू,pratyābrū,P. -bravIti,
प्रत्याभू,pratyābhū,P. -Bavati,
प्रत्याम्ना,pratyāmnā,only -mnAyus),mfn.
प्रत्याय,pratyāya,"&c , see p",
प्रत्याया,pratyāyā,"P. -yAti, to come back, return to (acc.) MBh.",
प्रत्यारम्भ,pratyārambha,raB) beginning again,m.
प्रत्यारुह्,pratyāruh,"Caus. -ropayati, to cause to mount again R.",
प्रत्यालभ्,pratyālabh,"A1. -laBate, to seize by the opposite side A1s3vS3r.",
प्रत्यालिङ्ग्,pratyāliṅg,P. -liNgati,
प्रत्याली,pratyālī,only A1,
प्रत्यालीढ,pratyālīḍha,lih) eaten L.,mfn.
प्रत्यावप्,pratyāvap,P. -vapati to cast or throw upon once more Kaus3.,
प्रत्यावृत्,pratyāvṛt,"A1. -vartate, to turn against (acc.) RV.",n.
प्रत्याव्रज्,pratyāvraj,"P. -vrajati, to go back, return La1t2y.",
प्रत्याशंस्,pratyāśaṃs,A1. -SaMsate,
प्रत्याशी,pratyāśī,A1. -Sete,
प्रत्याश्रय,pratyāśraya,"Sri) a shelter, refuge, dwelling Sa1m2khyak",m.
प्रत्याश्रु,pratyāśru,"Caus. -SrAvayati, to pronounce the ejaculatory response AV.",m.
प्रत्याश्वस्,pratyāśvas,"P. -Svasiti, to breathe again, respire, revive, take heart again MBh.",mfn.
प्रत्यास्,pratyās,A1. -Aste,
प्रत्यासंकलित,pratyāsaṃkalita,3. kal) the putting together or combining of various evidence,n.
प्रत्यासङ्ग,pratyāsaṅga,saYj) combination,m.
प्रत्यासद्,pratyāsad,"P. -sIdati, to be near or close at hand Nya1yas. Sch.",f.
प्रत्यासिच्,pratyāsic,to pour in again,
प्रत्यासेव्,pratyāsev,A1. -sevate = prati-juz,
प्रत्यास्था,pratyāsthā,P. -tizWati,
प्रत्यास्वर,pratyāsvara,svf) shining back,mfn.
प्रत्यास्वादक,pratyāsvādaka,svad) a fore-taster (?) Nalac.,m.
प्रत्याहन्,pratyāhan,"P. -hanti (pf. A1. -jaGne), to drive back, keep away, ward off AV.",mfn.
प्रत्याहृ,pratyāhṛ,"P. -harati, to draw in or back S3a1n3khS3r.",n.
प्रत्याह्वे,pratyāhve,"A1. -hvayate (ind.p. -hUya), to answer a call BhP.",m.
प्रत्युक्त,pratyukta,See prati-vac,
प्रत्युक्ष्,pratyukṣ,P. -ukzati,
प्रत्युच्चर्,pratyuccar,"-ud-car), Caus. -cArayati, to rouse up, excite, urge MBh.",m.
प्रत्युच्छ्रि,pratyucchri,"-ud-Sri) P. A1. -Crayati, te, (P.) to erect against S3Br.",mfn.
प्रत्युज्जीव्,pratyujjīv,"-ud-jIv) P. -jIvati, to return to life, revive Ratna7v.",n.
प्रत्युत,pratyuta,"on the contrary, rather, even Ka1v.",ind.
प्रत्युत्कर्ष,pratyutkarṣa,kfz) outdoing,m.
प्रत्युत्क्रम,pratyutkrama,kram) undertaking,m.
प्रत्युत्तम्भ्,pratyuttambh,stamB) P,f.
प्रत्युत्तर,pratyuttara,"&c , see p.664.",
प्रत्युत्तॄ,pratyuttṝ,"only ind.p. -uttIrya), to come home, return R.",
प्रत्युत्था,pratyutthā,"sTA) P. -tizWati to rise up before (acc.), rise to salute, go to meet Br.",n.
प्रत्युत्पन्न,pratyutpanna,"pad) existing at the present moment, present, prompt, ready MBh.",mfn.
प्रत्युत्पा,pratyutpā,A1. -pipIte,
प्रत्युत्सद्,pratyutsad,P. -sIdati,
प्रत्युदाव्रज्,pratyudāvraj,P. -vrajati,
प्रत्युदाहृ,pratyudāhṛ,"P. -harati, to speak in return, reply, answer R.",n.
प्रत्युदि,pratyudi,"P. -eti, to ascend to (acc.) AV.",
प्रत्युदित,pratyudita,See prati-vad.,
प्रत्युदीक्ष्,pratyudīkṣ,"A1. -Ikzate, to look up at, perceive, behold R.",
प्रत्युदीर्,pratyudīr,only ind.p,
प्रत्युद्गम्,pratyudgam,"P. -gacCati (ep. also A1. te), to go out towards, advance to meet (a friend or an enemy) Mn.",mfn.
प्रत्युद्गा,pratyudgā,only aor,
प्रत्युद्गार,pratyudgāra,gF) a kind of nervous disease L.,m.
प्रत्युद्गीत,pratyudgīta,gE) answered in singing or in chanting La1t2y.,mfn.
प्रत्युद्ग्रह्,pratyudgrah,P. -gfhRAti,m.
प्रत्युद्घात,pratyudghāta,prob,
प्रत्युद्दीप्,pratyuddīp,A1. -dIpyate,
प्रत्युद्धरण,pratyuddharaṇa,hf) recovering,n.
प्रत्युद्धा,pratyuddhā,-ud- 1,
प्रत्युद्यम्,pratyudyam,P. -yacCati,mfn.
प्रत्युद्या,pratyudyā,"P. -yAti, to rise and go towards or against, go to meet (a friend or an enemy) MBh.",mfn.
प्रत्युद्वद्,pratyudvad,Caus,
प्रत्युद्व्रज्,pratyudvraj,P. -vrajati,
प्रत्युन्नमन,pratyunnamana,nam) rising or springing up again,n.
प्रत्युन्मिष्,pratyunmiṣ,-ud- 1,
प्रत्युपकृ,pratyupakṛ,A1. -kurute,m.
प्रत्युपक्रम्,pratyupakram,A1. -kramate,
प्रत्युपगम्,pratyupagam,P. -gacCati,mfn.
प्रत्युपदिश्,pratyupadiś,P. -diSati to explain singly or severally Sus3r.,mfn.
प्रत्युपद्रु,pratyupadru,"P. -dravati, to rush against, fall upon, assail (acc.) MBh.",
प्रत्युपधा,pratyupadhā,P. -daDAti,
प्रत्युपपन्न,pratyupapanna,v.l. for pratyutpanna,
प्रत्युपभुज्,pratyupabhuj,A1. -BuNkte,m.
प्रत्युपया,pratyupayā,P. -yAti,
प्रत्युपरुद्ध,pratyuparuddha,2. ruD) obstructed,mfn.
प्रत्युपलब्ध,pratyupalabdha,"laB) gained back, recovered Vikr.",mfn.
प्रत्युपविश्,pratyupaviś,"P. -viSati, to sit down opposite to or before (acc.)",mfn.
प्रत्युपव्रज्,pratyupavraj,P. -vrajati,
प्रत्युपसृ,pratyupasṛ,P. -sarati,
प्रत्युपस्था,pratyupasthā,"P. A1. tizWati, te, (A1.) to stand opposite to S3Br.",n.
प्रत्युपस्पृश्,pratyupaspṛś,P. -spfSati,n.
प्रत्युपहार,pratyupahāra,hf) handing back,m.
प्रत्युपह्वे,pratyupahve,A1. -havate,m.
प्रत्युपाकरण,pratyupākaraṇa,1. kf) recommencement of Vedic study Gobh.,n.
प्रत्युपाधा,pratyupādhā,A1. -Datte,
प्रत्युपाहृ,pratyupāhṛ,P. -harati,
प्रत्युपे,pratyupe,"-upa-i) P. -upEti, to approach again, recommence AitBr.",mfn.
प्रत्युपेक्षित,pratyupekṣita,Ikz) disregarded,mfn.
प्रत्युपोदित,pratyupodita,vad) addressed with offensive words Ta1n2d2Br.,mfn.
प्रत्युप्त,pratyupta,See prati-vap,
प्रत्युष्,pratyuṣ,P. -ozati,mfn.
प्रत्यूह्,pratyūh,"P. A1. -Uhati, te (ind.p. -uhya Naish.), to push back, strip off RV.",mfn.
प्रत्यृ,pratyṛ,"Caus. -arpayati, to cause to go towards, throw towards AV.",mfn.
प्रत्ये,pratye,-A-i,n.
प्रत्येतव्य,pratyetavya,See p,
प्रत्येष्,pratyeṣ,A-Iz) A1,
प्रत्रस्,pratras,"P. -trasati, to flee in terror AV.",m.
प्रत्वक्ष्,pratvakṣ,only in A1,mfn.
प्रत्वर्,pratvar,A1. -tvarate,mfn.
प्रथ्,prath,"cl.1 A1. (Dha1tup. xix, 3) pr/aTate (rarely P. ti e.g. impf. 2. du. /apraTatam RV.",m.
प्रथ्,prath,"or pfT cl.10 P. prATayati or parTayati, to throw, cast",
पृथ्,pṛth,"or praT cl.10 P. prATayati or parTayati, to throw, cast",
प्रथम,prathama,"mf(/A)n. (for pra-tama, superl. of 1. pra",mf
प्रदक्षिण,pradakṣiṇa,mf(A)n,mf
प्रदग्ध,pradagdha,"&c , see pra-dah.",
प्रदघस्,pradaghas,Ved. inf. of daG),
प्रदण्डवत्,pradaṇḍavat,inflicting severe punishment Para1s3.,mfn.
प्रदत्त,pradatta,"&c , see pra- 1",
प्रदम्,pradam,Caus,m.
प्रदर,pradara,See pra-dF.,
प्रदर्प,pradarpa,dfp) pride,m.
प्रदर्विदा,pradarvidā,?) Ka1s3,
प्रदर्श,pradarśa,"&c , see pra-dfS.",
प्रदल,pradala,an arrow (= pra-dara) L.,m.
प्रदव,pradava,"vya &c , see pra- 2",
प्रदस्,pradas,P. -dasyati,
प्रदह्,pradah,"P. -dahati (ep. also A1. te), to burn, consume, destroy AV. &c &c: Pass. -dahyate (ep. also ti), to take fire, be burnt, burn MBh.",mfn.
प्रदा,pradā,"P. -dadAti, rarely A1. -datte, (Ved. inf. pr/a-dAtos TS.",mfn.
प्रदान,pradāna,do) a goad L,n.
प्रदान्त,pradānta,See pra-dam.,
प्रदास,pradāsa,?) DivyA7v.,m.
प्रदिग्ध,pradigdha,See pra- dih.,
प्रदिव्,pradiv,"fr. 3. div, heaven",f.
प्रदिश्,pradiś,"P. A1. -diSati, te, to point out, show, indicate, declare, appoint, fix, ordain RV. &c",f.
प्रदिह्,pradih,P. -degDi,mfn.
प्रदी,pradī,only pr,
प्रदीप्,pradīp,"A1. -dIpyate, to flame forth, blaze, burst into flames S3Br.",m.
प्रदीर्घ,pradīrgha,exceedingly long Var.,mfn.
प्रदु,pradu,"A1. -dUyate, to be consumed by fire ChUp.",mfn.
प्रदुग्ध,pradugdha,See /a- and savya-pradugDa.,
प्रदुष्,praduṣ,"P. -duzyati, to become worse, deteriorate Sus3r.",mfn.
प्रदुह्,praduh,nom. -Duk) milking Pa1n2. 3-2,mfn.
प्रदृश्,pradṛś,Pass,m.
प्रदॄ,pradṝ,"of P. only Ved. Impv. -d/arzi), to break or tear to pieces RV. vi, 26, 5 : Pass. -dIryate, to cleave asunder, split open (intr.) AitBr.",m.
प्रदेश,pradeśa,"&c , see pra-diS.",
प्रदोष,pradoṣa,for 1,m.
प्रद्यु,pradyu,merit (of good works) leading to heaven or securing heaven L.,n.
प्रद्युत्,pradyut,"A1. -dyotate, to begin to shine S3Br. : Caus. -dyotayati, to irradiate, illumine Prab.",mfn.
प्रद्युम्न,pradyumna,"the pre-eminently mighty one , N",m.
प्रद्राणक,pradrāṇaka,2. drA) sorely distressed,mfn.
प्रद्रु,pradru,"P. -dravati (ep. also A1. te), to run forwards, run away, flee RV. &c",mfn.
प्रद्रुह्,pradruh,nom. -Druk) one who hurts or injures Pa1n2. 3-2,mfn.
प्रद्रेक्,pradrek,A1. -drekate,
प्रद्वार्,pradvār,a place before a door or gate MBh,f.
प्रद्विष्,pradviṣ,"P. A1. -dvezwi, -dvizwe, to feel dislike or repugnance for, hate, show one's hatred against (acc.) MBh.",mfn.
प्रधन,pradhana,cf. D/ana) spoil taken in battle,n.
प्रधमन,pradhamana,See pra-DmA.,
प्रधर्ष,pradharṣa,"&c , see pra-Dfz.",
प्रधा,pradhā,"A1. -Datte, to place or set before, offer RV.",m.
प्रधा,pradhā,See pra-De,
प्रधाव्,pradhāv,"P. A1. -DAvati, te, to run forwards, rrun forth, rrun away, set out, start RV.",m.
प्रधाव्,pradhāv,P. A1. -DAvati,m.
प्रधि,pradhi,See above.,
प्रधी,pradhī,"or -dIDI, only p. pr. -dIDyat and -d/IDyAna), to long for, strive after RV. i, 113, 10",
प्रधी,pradhī,great intelligence Vop.,f.
प्रधुर,pradhura,the tip of a pole A1pS3r.,n.
प्रधू,pradhū,"P. A1. -DUnoti, nute, to move forward Pan5cavBr.",mfn.
प्रधृ,pradhṛ,only pf,mfn.
प्रधृष्,pradhṛṣ,P. -Darzati,m.
प्रधे,pradhe,Caus,
प्रध्मा,pradhmā,"or Dam) P. (A1. Pot. -DmAyIta ChUp.) -Damati, to blow before or in front, blow away AV.",n.
प्रध्यै,pradhyai,"P. A1. -DyAyati, te, to meditate upon, think of (acc. with or without prati) Gobh.",n.
प्रध्रज्,pradhraj,P. -Drajati,
प्रध्वंस्,pradhvaṃs,"A1. -DvaMsate, to flow off (as water) A1s3vGr2.",m.
प्रध्वन्,pradhvan,P. -Dvanati,m.
प्रनक्ष्,pranakṣ,P. A1. -nakzati,
प्रनप्तृ,pranaptṛ,a great grandson Un2,m.
प्रनभ्,pranabh,A1. -naBate,
प्रनर्द्,pranard,P. -nardati Pa1n2. 8-4,mfn.
प्रनष्ट,pranaṣṭa,See pra-RaS,
प्रनायक,pranāyaka,one whose leader is away,mfn.
प्रनाल,pranāla,-nAlI = -RAla,
प्रनाशिन्,pranāśin,w.r. for -RASin q.v.,
प्रनिंसित,praniṃsita,-niMsitavya = -RiMsita,
प्रनिक्षण,pranikṣaṇa,= -RikzaRa Pa1n2,
प्रनिघातन,pranighātana,fr. pra-nihan) killing,n.
प्रनिन्दन,pranindana,= -Rindana Pa1n2,
प्रनिभिद्,pranibhid,P. -Binatti Pa1n2. 8-4,
प्रनिरक्ष्,pranirakṣ,P. -rakzati Vop.,
प्रनीड,pranīḍa,w.r. for pra-qIna,mfn.
प्रनुद्,pranud,w.r. for -Rud (q.v.) Sus3r.,mfn.
प्रनृत्,pranṛt,"P. A1. -nftyati, te, to dance forwards, begin to ddance, ddance AV.",mfn.
प्रपक्ष,prapakṣa,the extremity of a wing (of an army drawn out in the form of a bird) MBh.,m.
प्रपच्,prapac,or paYc),
प्रपच्,prapac,"P. A1. -pacati, te, to begin to cook Pa1n2. 8-1, 44 Sch.",mfn.
